                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44301,                0.51383,                0.96228,                0.91635,                0.87084,                  0.892,                 0.8488,                0.43749,                0.49584,                0.95825,             0.00043588,             0.00043588,             0.00043588
                     37,                0.42743,                0.50128,                0.95506,                0.96728,                0.85371,                0.89337,                0.84653,                0.43832,                0.49129,                0.95471,             0.00042928,             0.00042928,             0.00042928
                     38,                0.41473,                0.48685,                0.94691,                0.89757,                0.86661,                0.88955,                0.84178,                0.42339,                0.49304,                0.95299,             0.00042268,             0.00042268,             0.00042268
                     39,                0.41872,                0.48716,                 0.9429,                0.97742,                0.84714,                0.89414,                0.84942,                0.42549,                0.48982,                0.96892,             0.00041607,             0.00041607,             0.00041607
                     40,                0.41484,                0.48435,                0.95075,                0.94433,                0.85871,                0.89236,                0.85389,                0.42165,                0.47613,                 0.9534,             0.00040947,             0.00040947,             0.00040947
                     41,                 0.4241,                0.47749,                0.95878,                0.95226,                0.84786,                0.88996,                0.84847,                0.41633,                0.50944,                0.95813,             0.00040287,             0.00040287,             0.00040287
                     42,                0.43165,                0.49466,                0.95402,                0.90455,                0.86522,                 0.8921,                0.85439,                0.42223,                0.47617,                0.96109,             0.00039626,             0.00039626,             0.00039626
                     43,                0.42069,                0.47598,                0.94932,                0.95705,                0.86785,                0.89494,                0.85508,                0.42344,                0.45778,                0.95157,             0.00038966,             0.00038966,             0.00038966
                     44,                0.41647,                0.48052,                0.94687,                0.92741,                0.86086,                0.89543,                0.85603,                0.41974,                0.46401,                 0.9472,             0.00038306,             0.00038306,             0.00038306
                     45,                0.41904,                0.46688,                0.95052,                0.91564,                0.86579,                0.89371,                0.85512,                0.41683,                 0.4632,                0.94869,             0.00037645,             0.00037645,             0.00037645
                     46,                0.41936,                0.47936,                0.94892,                0.92643,                  0.847,                0.89283,                0.85397,                0.42247,                0.47201,                0.95273,             0.00036985,             0.00036985,             0.00036985
                     47,                0.41122,                0.46911,                  0.947,                0.90999,                0.85903,                0.89101,                0.85065,                0.42289,                0.45116,                0.94195,             0.00036325,             0.00036325,             0.00036325
